Smiles,Target Name,Standard Value,Smiles_feature_vector,image_feature_vector,target_protein_vector
COc1cc2nn([C@H]3CC[C@H](N(C)C(C)=O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,Interleukin-1 receptor-associated kinase 4,0.2,,,
COc1cc2nn([C@H]3CC[C@H](N(C)C(=O)[C@@H](C)O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,Interleukin-1 receptor-associated kinase 4,0.2,,,
Cl.Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,Interleukin-1 receptor-associated kinase 4,0.24,,,
COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O,Interleukin-1 receptor-associated kinase 4,0.29,,,
Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(N)=O)n1,Interleukin-1 receptor-associated kinase 4,0.3,,,
COc1cc2nn([C@H]3CC[C@H](N(C)C(=O)N4CC[C@@H](O)C4)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,Interleukin-1 receptor-associated kinase 4,0.3,,,
COc1cc2c(OC[C@H]3NC(=O)[C@@H](F)[C@H]3C)nccc2cc1C(N)=O,Interleukin-1 receptor-associated kinase 4,0.3,,,
Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1,Interleukin-1 receptor-associated kinase 4,0.3,,,
Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.3,,,
Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1.Cl,Interleukin-1 receptor-associated kinase 4,0.32,,,
COC(C)(C)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,Interleukin-1 receptor-associated kinase 4,0.32,,,
Cl.NC(=O)c1nn(-c2cccnc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1,Interleukin-1 receptor-associated kinase 4,0.36,,,
CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,Interleukin-1 receptor-associated kinase 4,0.38,,,
Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCNC4)nc23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.4,,,
Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1,Interleukin-1 receptor-associated kinase 4,0.4,,,
O=C(Nc1cc2c(cc1N1CCOCC1)C(=O)N(CC1CCOCC1)C2)c1cnn2cccnc12,Interleukin-1 receptor-associated kinase 4,0.47,,,
Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.5,,,
CC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,Interleukin-1 receptor-associated kinase 4,0.5,,,
Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.5,,,
Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)C[C@@H](F)C4)nc23)c(C(F)(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.5,,,
CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,Interleukin-1 receptor-associated kinase 4,0.55,,,
CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@H](F)C1,Interleukin-1 receptor-associated kinase 4,0.6,,,
C[C@H]1C[C@@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCN1C,Interleukin-1 receptor-associated kinase 4,0.6,,,
CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,0.6,,,
Cc1ncc(-c2nc3c(NC4(C)CC4)nc(Nc4cnn(C5CC6(C5)CN(C)C6)c4)nc3cc2F)cn1,Interleukin-1 receptor-associated kinase 4,0.6,,,
COc1cc2c(OC[C@H]3NC(=O)[C@@]4(F)[C@@H]3[C@@H]4C)nccc2cc1C(N)=O,Interleukin-1 receptor-associated kinase 4,0.6,,,
Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1.O=C(O)C(F)(F)F,Interleukin-1 receptor-associated kinase 4,0.7,,,
Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,Interleukin-1 receptor-associated kinase 4,0.7,,,
Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCCNC4)nn23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.7,,,
Cc1cc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1,Interleukin-1 receptor-associated kinase 4,0.74,,,
CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,0.8,,,
COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1,Interleukin-1 receptor-associated kinase 4,0.8,,,
Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCNC4)nc23)c(C(F)(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.8,,,
Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1,Interleukin-1 receptor-associated kinase 4,0.8,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(S(C)(=O)=O)c1,Interleukin-1 receptor-associated kinase 4,0.9,,,
Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,0.9,,,
Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1COC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5ccnnc5)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CCn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1.O=C(O)C(F)(F)F,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Clc1ccc2ncc(-c3cccc(NC4CCNC4)n3)n2c1,Interleukin-1 receptor-associated kinase 4,1.0,,,
NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cc(O)cnc23)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(F)C1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@@H](F)C1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCOCC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Clc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CC2(CC(n3cc(Nc4nc(NC5(C)CC5)c5c(=O)n(C)ccc5n4)cn3)C2)C1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cnn[nH]5)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CC(C)(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.0,,,
CC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2cnn3ccc(N4CCNCC4)nc23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN(C)CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cccnc5)ccc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)c(F)cc4n3)cn2)CC1,Interleukin-1 receptor-associated kinase 4,1.0,,,
CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC(C)C)CC1,Interleukin-1 receptor-associated kinase 4,1.1,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cc(C2CC2)n[nH]1,Interleukin-1 receptor-associated kinase 4,1.1,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCC(F)C1,Interleukin-1 receptor-associated kinase 4,1.1,,,
CC(C)Nc1cc(-n2ccc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.1,,,
CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2S1(=O)=O,Interleukin-1 receptor-associated kinase 4,1.2,,,
CCn1cc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,1.2,,,
CC1(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,Interleukin-1 receptor-associated kinase 4,1.2,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(N)=O)CC1,Interleukin-1 receptor-associated kinase 4,1.2,,,
COC(=O)N1CC[C@@H](Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,Interleukin-1 receptor-associated kinase 4,1.2,,,
CC(C)(F)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(O)c1,Interleukin-1 receptor-associated kinase 4,1.2,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC12CCC(O)(CC1)C2,Interleukin-1 receptor-associated kinase 4,1.2,,,
CCC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)Nc1cc(-n2ccc3cnc(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1CC[C@@](C)(O)CC1,Interleukin-1 receptor-associated kinase 4,1.3,,,
Cn1cc(NC(=O)c2cnc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1,Interleukin-1 receptor-associated kinase 4,1.3,,,
NC(=O)[C@@H](O)C[C@H]1CCc2sc3ncnc(O[C@H]4CC[C@H](N5CCOCC5)CC4)c3c21,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@@H]1CCN(S(C)(=O)=O)C1,Interleukin-1 receptor-associated kinase 4,1.3,,,
Cn1cc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1Nc1cnn(CCCF)c1,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1,Interleukin-1 receptor-associated kinase 4,1.3,,,
Cn1nnnc1-c1ccc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cc1,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2cnc3cc(Cl)cnc32)cc1Nc1cnn(CC(F)F)c1,Interleukin-1 receptor-associated kinase 4,1.3,,,
COc1cc2c(OC[C@@H]3CCC(=O)N3)cccc2cc1C(N)=O,Interleukin-1 receptor-associated kinase 4,1.3,,,
CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.3,,,
CCNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.4,,,
CCCn1cc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,1.4,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(O)C1,Interleukin-1 receptor-associated kinase 4,1.4,,,
C[C@H](F)CNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.4,,,
CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,Interleukin-1 receptor-associated kinase 4,1.4,,,
CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,Interleukin-1 receptor-associated kinase 4,1.4,,,
CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)O,Interleukin-1 receptor-associated kinase 4,1.4,,,
CC(C)CCn1cc(-c2cnc3c([nH]c4cc(C#N)ccc43)c2NC(C)C)nn1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)Nc1cc(-n2ccc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.5,,,
CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(Nc3ccc4ncsc4n3)cc2NC2CCOCC2)CC1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(NS(C)(=O)=O)c1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(-c2ncccn2)c1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CCNC(=O)n1cc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,1.5,,,
COC(C)(C)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC2CC2)CC1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)Nc1c(-c2cn(C3CCNCC3)nn2)cnc2c1[nH]c1cc(C#N)ccc12,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(CO)c1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@@H]1CCN(c2ncc(F)cn2)C1,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2cnc3cc(Cl)cnc32)cc1Nc1cnn(CC(F)(F)F)c1,Interleukin-1 receptor-associated kinase 4,1.5,,,
C[C@@H](F)CNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@@H]1CCN(c2ncc(F)cn2)C1,Interleukin-1 receptor-associated kinase 4,1.5,,,
C[C@@H](CO)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)c(N)nc32)cc1NC12CC(C1)C2,Interleukin-1 receptor-associated kinase 4,1.5,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NCC1(F)CCC1,Interleukin-1 receptor-associated kinase 4,1.5,,,
COC(C)(C)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCCC(CO)C1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(-c2ncc(F)cn2)c1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C(N)=O)cnc32)cc1Nc1ccc2ncoc2c1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CCNc1c(C(=O)NC[C@@H](F)C(C)(C)O)cnc2c1[nH]c1cc(C#N)ccc12,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCCOC1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1C[C@H](C(C)(C)O)C1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(=O)Nc1ccc(CCNC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)cc1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)(O)c1cccc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)c1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(CCF)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CC1,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC(C)Nc1cc(-n2ccc3cc(F)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.6,,,
CC[C@@H](C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.6,,,
CCNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC(C)C)CC1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(F)(F)Cn1cc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CS(=O)(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC2CC2)CC1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NCCC(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)(F)F)c1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCN(S(C)(=O)=O)CC1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CCn1cc(Nc2cc(-n3ncc4cc(Cl)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)Nc1cc(-n2ccc3cnc(NCCO)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc2ncsc2c1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc(-n2cccn2)cc1,Interleukin-1 receptor-associated kinase 4,1.7,,,
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(C#N)c1,Interleukin-1 receptor-associated kinase 4,1.7,,,
